Company,TypeName,Inches,Ram,OpSys,Weight,Price,ScreenBreadth,ScreenLength,Screen Panel Type,Additional Screen Features,CPU Brand,CPU Series,CPU Clock Speed,Memory Size,Additional Memory,Memory Type,GPU Brand,GPU Series
Dell,Ultrabook,13.3,16,Windows 10,1.2,99580,3200,1800,Touchscreen,Quad HD+,Intel,Core,1.8,512,0,SSD,Intel,UHD
Apple,Ultrabook,13.3,8,Mac OS X,1.4,53173,1440,900,Standard,Standard,Intel,Core,1.6,256,0,Flash,Intel,HD
Lenovo,Notebook,14,4,Windows 10,1.4,13266,1366,768,Standard,Standard,Intel,Celeron,1.1,64,0,Flash,Intel,HD
Acer,Notebook,15.6,4,Linux,2.1,19553,1366,768,Standard,Standard,Intel,Core,2.7,1024,0,HDD,Intel,HD
Dell,Notebook,17.3,8,Windows 10,2.8,52161,1920,1080,IPS Panel,Full HD,Intel,Core,1.6,128,1024,SSD,AMD,Radeon
HP,Notebook,15.6,4,Windows 10,1.9,26037,1366,768,Standard,Standard,Intel,Core,2.5,1024,0,HDD,Intel,HD
HP,Notebook,15.6,8,Windows 10,2.1,46833,1920,1080,Standard,Full HD,Intel,Core,1.6,256,0,SSD,Nvidia,GeForce
Asus,Notebook,15.6,4,Linux,2.0,20725,1920,1080,Standard,Full HD,Intel,Core,2,1024,0,HDD,Intel,HD
Dell,Gaming,15.6,16,Windows 10,2.6,79866,1920,1080,IPS Panel,Full HD,Intel,Core,2.8,256,1024,SSD,Nvidia,GeForce
Asus,Notebook,15.6,8,Linux,2.3,27864,1366,768,Standard,Standard,Intel,Core,2.5,1024,0,HDD,Nvidia,GeForce
Acer,Notebook,15.6,4,Windows 10,2.2,36336,1920,1080,IPS Panel,Full HD,Intel,Core,1.6,256,0,SSD,Intel,UHD
Dell,2 in 1 Convertible,17.3,12,Windows 10,2.8,53226,1920,1080,Touchscreen,Full HD,Intel,Core,1.6,1024,0,HDD,Nvidia,GeForce
Apple,Ultrabook,13.3,8,macOS,1.4,75604,2560,1600,IPS Panel,Retina Display,Intel,Core,2.0,256,0,SSD,Intel,Iris
Asus,Gaming,17.3,8,Windows 10,3.2,69210,1920,1080,Standard,Full HD,AMD,Ryzen,3,256,1024,SSD,AMD,Radeon
Dell,Notebook,15.6,4,Windows 10,2.3,34045,1920,1080,Standard,Full HD,Intel,Core,2.5,256,0,SSD,AMD,Radeon
Asus,Notebook,17.3,4,Windows 10,2.8,24828,1366,768,Standard,Standard,Intel,Pentium,1.1,1024,0,HDD,Nvidia,GeForce
Acer,Notebook,15.6,8,Windows 10,2.2,44808,1920,1080,IPS Panel,Full HD,Intel,Core,1.8,256,0,SSD,Nvidia,GeForce
HP,Notebook,15.6,4,Windows 10,1.9,21231,1920,1080,Standard,Full HD,AMD,A6-Series,2.5,256,0,SSD,AMD,Radeon
HP,Notebook,13.3,8,Windows 10,1.5,58767,1920,1080,Standard,Full HD,Intel,Core,1.8,512,0,SSD,Intel,UHD
Acer,Notebook,15.6,4,Windows 10,2.4,20459,1366,768,Standard,Standard,Intel,Core,2.4,1024,0,HDD,Intel,HD
Dell,Notebook,15.6,8,Windows 10,2.1,40908,1920,1080,Standard,Full HD,Intel,Core,1.8,256,0,SSD,AMD,Radeon
HP,Notebook,15.6,4,Windows 10,1.9,23389,1920,1080,Standard,Full HD,Intel,Core,2,128,0,SSD,Intel,HD
Asus,Notebook,15.6,4,Windows 10,2.0,31232,1366,768,Standard,Standard,Intel,Core,2.5,256,0,SSD,Intel,HD
MSI,Gaming,17.3,16,Windows 10,2.4,130482,1920,1080,Standard,Full HD,Intel,Core,2.8,256,2048,SSD,Nvidia,GeForce
Asus,Notebook,15.6,4,Linux,2.0,22111,1920,1080,Standard,Full HD,Intel,Core,2,256,0,SSD,Intel,HD
Dell,Notebook,17.3,16,Windows 10,2.8,69210,1920,1080,Standard,Full HD,Intel,Core,1.8,256,2048,SSD,AMD,Radeon
Dell,Ultrabook,14,8,Windows 10,1.7,46833,1920,1080,Standard,Full HD,Intel,Core,1.6,256,0,SSD,Intel,UHD
Lenovo,Notebook,14,8,No OS,1.7,31914,1920,1080,IPS Panel,Full HD,Intel,Core,2.7,256,0,SSD,Intel,HD
Asus,Notebook,14,8,Windows 10,1.4,50136,1920,1080,Standard,Full HD,Intel,Core,1.6,256,0,SSD,Intel,UHD
HP,Notebook,15.6,8,Windows 10,1.9,36763,1920,1080,Standard,Full HD,Intel,Core,2.5,256,0,SSD,Intel,HD
Asus,Ultrabook,15.6,16,Windows 10,1.8,105654,1920,1080,Standard,Full HD,Intel,Core,2.8,512,0,SSD,Nvidia,GeForce
HP,Notebook,15.6,4,Windows 10,1.9,23373,1366,768,Standard,Standard,Intel,Core,2,500,0,HDD,AMD,Radeon
HP,Notebook,14,4,Windows 10,1.4,12201,1366,768,Standard,Standard,Intel,Celeron,1.6,32,0,SSD,Intel,HD
Lenovo,Notebook,15.6,4,Windows 10,1.9,29250,1920,1080,Standard,Full HD,Intel,Core,2.5,1024,0,HDD,Intel,HD
Asus,Gaming,17.3,12,Linux,3.0,50562,1920,1080,Standard,Full HD,Intel,Core,2.8,1024,0,HDD,Nvidia,GeForce
Microsoft,Ultrabook,13.5,4,Windows 10 S,1.3,58021,2256,1504,Touchscreen,Standard,Intel,Core,2.5,128,0,SSD,Intel,HD
Dell,Ultrabook,13.3,64,Windows 10,1.4,50882,1920,1080,IPS Panel,Full HD,Intel,Core,1.8,256,0,SSD,AMD,Radeon
Dell,Notebook,15.6,8,Windows 10,2.2,46353,1920,1080,Standard,Full HD,Intel,Core,1.8,256,0,SSD,AMD,Radeon
MSI,Gaming,17.3,8,Windows 10,2.7,58341,1920,1080,Standard,Full HD,Intel,Core,2.5,128,1024,SSD,Nvidia,GeForce
Acer,Notebook,14,8,Windows 10,2.1,20725,1366,768,Standard,Standard,Intel,Core,2,1024,0,HDD,Intel,HD
Asus,Gaming,15.6,8,Windows 10,2.2,50562,1920,1080,Standard,Full HD,Intel,Core,2.8,1024,0,HDD,Nvidia,GeForce
Lenovo,Notebook,15.6,8,No OS,2.2,27652,1920,1080,Standard,Full HD,Intel,Core,2.5,2048,0,HDD,Intel,HD
Dell,Notebook,15.6,8,Windows 10,2.0,45554,1920,1080,Standard,Full HD,Intel,Core,1.8,128,1024,SSD,Intel,UHD
Acer,Notebook,15.6,4,Windows 10,2.2,28238,1920,1080,Standard,Full HD,Intel,Core,2.7,1024,0,HDD,Nvidia,GeForce
HP,Notebook,17.3,8,Windows 10,2.5,52054,1920,1080,Standard,Full HD,Intel,Core,1.6,128,1024,SSD,Nvidia,GeForce
Dell,Ultrabook,15.6,8,Windows 10,1.9,58403,1920,1080,IPS Panel,Full HD,Intel,Core,1.6,256,0,SSD,Intel,UHD
Apple,Ultrabook,12,8,macOS,0.9,80452,2304,1440,IPS Panel,Retina Display,Intel,Core,1.3,512,0,SSD,Intel,HD
HP,Notebook,14,8,Windows 10,1.6,45820,1920,1080,Standard,Full HD,Intel,Core,1.6,256,0,SSD,Intel,HD
Lenovo,Notebook,15.6,4,Windows 10,2.2,21258,1920,1080,Standard,Full HD,AMD,A6-Series,2.5,128,0,SSD,AMD,R4
Acer,Notebook,15.6,4,Windows 10,2.1,21045,1366,768,Standard,Standard,AMD,A9-Series,3,1024,0,HDD,AMD,Radeon
Dell,Gaming,15.6,16,Windows 10,2.6,71874,1920,1080,IPS Panel,Full HD,Intel,Core,2.8,128,1024,SSD,Nvidia,GeForce
HP,Ultrabook,15.6,8,Windows 10,1.8,37242,1920,1080,IPS Panel,Full HD,Intel,Core,1.8,256,0,SSD,Nvidia,GeForce
HP,Notebook,15.6,8,Windows 10,2.0,31914,1920,1080,Standard,Full HD,Intel,Core,2.5,256,0,SSD,Intel,HD
Asus,Gaming,15.6,16,Windows 10,2.2,77202,1920,1080,IPS Panel,Full HD,Intel,Core,2.8,128,1024,SSD,Nvidia,GeForce
Dell,Ultrabook,13.3,8,Windows 10,1.2,87858,1920,1080,IPS Panel,Full HD,Intel,Core,1.8,256,0,SSD,Intel,UHD
Asus,Gaming,15.6,8,Windows 10,2.4,37242,1920,1080,Standard,Full HD,AMD,FX,3,1024,0,HDD,AMD,Radeon
Acer,Notebook,15.6,2,Windows 10,2.2,36709,1920,1080,Standard,Full HD,Intel,Core,1.8,1024,0,HDD,Nvidia,GeForce
HP,Notebook,13.3,16,Windows 10,1.5,63776,1920,1080,Standard,Full HD,Intel,Core,1.8,512,0,SSD,Intel,UHD
Dell,Gaming,15.6,8,Windows 10,2.6,63669,1920,1080,Standard,Full HD,Intel,Core,2.5,256,0,SSD,Nvidia,GeForce
Asus,Ultrabook,14,8,Windows 10,1.2,55890,1920,1080,Standard,Full HD,Intel,Core,2.7,256,0,SSD,Intel,HD
Acer,2 in 1 Convertible,13.3,8,Windows 10,1.5,45128,1920,1080,IPS Panel,Full HD,Intel,Core,1.6,256,0,SSD,Intel,UHD
Dell,Notebook,15.6,8,Linux,2.2,31962,1920,1080,Standard,Full HD,Intel,Core,2.7,1024,0,HDD,AMD,Radeon
Dell,Notebook,15.6,4,Linux,2.2,25840,1920,1080,Standard,Full HD,Intel,Core,2,256,0,SSD,AMD,Radeon
Asus,Notebook,15.6,6,Windows 10,2.0,30742,1920,1080,Standard,Full HD,Intel,Core,2.4,256,0,SSD,Nvidia,GeForce
HP,Gaming,15.6,12,Windows 10,2.6,66546,1920,1080,IPS Panel,Full HD,Intel,Core,2.8,128,1024,SSD,Nvidia,GeForce
HP,Notebook,15.6,8,Windows 10,1.9,38308,1920,1080,Standard,Full HD,Intel,Core,2.7,256,0,SSD,AMD,Radeon
HP,Notebook,15.6,4,Windows 10,2.1,18594,1920,1080,Standard,Full HD,AMD,E-Series,1.5,500,0,HDD,AMD,Radeon
Dell,Notebook,15.6,8,Linux,2.2,34472,1920,1080,Standard,Full HD,Intel,Core,1.6,1024,0,HDD,AMD,Radeon
HP,Ultrabook,13.3,8,Windows 10,1.4,59620,1920,1080,IPS Panel,Full HD,Intel,Core,2.7,256,0,SSD,Nvidia,GeForce
Microsoft,Ultrabook,13.5,8,Windows 10 S,1.3,71395,2256,1504,Touchscreen,Standard,Intel,Core,2.5,256,0,SSD,Intel,HD
HP,Notebook,14,6,Windows 10,1.6,35111,1920,1080,IPS Panel,Full HD,Intel,Core,2.5,256,0,SSD,Nvidia,GeForce
Lenovo,Notebook,15.6,4,Windows 10,1.8,22105,1920,1080,Standard,Full HD,Intel,Core,2,1024,0,HDD,Intel,HD
Asus,Ultrabook,14,8,Windows 10,1.3,63563,1920,1080,IPS Panel,Full HD,Intel,Core,2.7,256,0,SSD,Nvidia,GeForce
MSI,Gaming,15.6,16,Windows 10,2.2,69210,1920,1080,Standard,Full HD,Intel,Core,2.8,256,1024,SSD,Nvidia,GeForce
Lenovo,Notebook,14,8,Windows 10,1.6,78854,1920,1080,IPS Panel,Full HD,Intel,Core,2.7,256,0,SSD,Intel,HD
Asus,Ultrabook,15.6,16,Windows 10,1.5,67239,1920,1080,Standard,Full HD,Intel,Core,1.8,256,1024,SSD,Nvidia,GeForce
Dell,Ultrabook,13.3,8,Windows 10,1.2,73473,3200,1800,Touchscreen,Quad HD+,Intel,Core,2.4,256,0,SSD,Intel,Iris
Lenovo,2 in 1 Convertible,13.3,8,Windows 10,1.4,74538,1920,1080,IPS Panel,Full HD,Intel,Core,2.5,256,0,SSD,Intel,HD
HP,Notebook,14,4,Windows 10,1.6,38468,1366,768,IPS Panel,Standard,Intel,Core,1.6,500,0,HDD,Intel,UHD
Dell,Ultrabook,13.3,8,Windows 10,1.2,86793,1920,1080,IPS Panel,Full HD,Intel,Core,1.6,256,0,SSD,Intel,UHD
HP,Notebook,14,8,Windows 10,1.6,57755,1920,1080,Standard,Full HD,Intel,Core,1.8,512,0,SSD,Intel,UHD
Dell,Notebook,15.6,8,Windows 10,2.2,60223,1920,1080,IPS Panel,Full HD,Intel,Core,1.8,256,1024,SSD,Nvidia,GeForce
Asus,Notebook,17.3,4,Windows 10,2.0,30049,1920,1080,Standard,Full HD,Intel,Core,2,1024,0,HDD,Nvidia,GeForce
Asus,Notebook,15.6,8,Windows 10,1.7,59567,1920,1080,Standard,Full HD,Intel,Core,1.8,256,0,SSD,Nvidia,GeForce
Acer,Notebook,15.6,6,Windows 10,2.1,25521,1920,1080,IPS Panel,Full HD,Intel,Core,2.4,1024,0,HDD,Intel,HD
MSI,Gaming,15.6,16,Windows 10,1.8,119427,1920,1080,Standard,Full HD,Intel,Core,2.8,256,2048,SSD,Nvidia,GeForce
Lenovo,Notebook,15.6,8,No OS,2.2,33513,1920,1080,Standard,Full HD,Intel,Core,2.5,256,0,SSD,Nvidia,GeForce
HP,Notebook,17.3,16,Windows 10,2.5,67718,1920,1080,Standard,Full HD,Intel,Core,1.8,512,0,SSD,Nvidia,GeForce
Acer,Notebook,15.6,4,Windows 10,2.1,24029,1366,768,Standard,Standard,AMD,A9-Series,3,256,0,SSD,AMD,Radeon
HP,Notebook,14,8,Windows 10,1.6,43263,1920,1080,Standard,Full HD,Intel,Core,1.6,1024,0,HDD,Intel,UHD
Asus,Notebook,14,4,Windows 10 S,1.6,14811,1366,768,Standard,Standard,AMD,E-Series,1.5,64,0,SSD,AMD,Radeon
Dell,Notebook,17.3,16,Windows 10,2.8,74378,1920,1080,Standard,Full HD,Intel,Core,1.8,256,2048,SSD,AMD,Radeon
HP,Notebook,17.3,8,Windows 10,2.5,49443,1920,1080,Standard,Full HD,Intel,Core,1.6,256,0,SSD,Intel,UHD
Dell,Notebook,15.6,8,Windows 10,2.4,34045,1366,768,Standard,Standard,Intel,Core,2.5,1024,0,HDD,AMD,Radeon
Dell,Notebook,15.6,4,Windows 10,2.2,23922,1920,1080,Standard,Full HD,Intel,Core,2,1024,0,HDD,AMD,Radeon
Acer,Ultrabook,14,8,Windows 10,1.6,47099,1920,1080,IPS Panel,Full HD,Intel,Core,1.8,256,0,SSD,Intel,UHD
Acer,Notebook,15.6,4,Windows 10,7.2,30476,1920,1080,Standard,Full HD,Intel,Core,2.7,256,0,SSD,Nvidia,GeForce
HP,Notebook,15.6,8,Windows 10,2.0,31861,1366,768,Standard,Standard,Intel,Core,2.7,1024,0,HDD,Intel,HD
HP,Notebook,14,8,Windows 10,1.6,52640,1920,1080,Standard,Full HD,Intel,Core,1.8,256,0,SSD,Intel,UHD
Lenovo,Notebook,15.6,4,No OS,1.9,13445,1366,768,Standard,Standard,Intel,Celeron,1.1,1024,0,HDD,Intel,HD
Asus,Gaming,17.3,8,Windows 10,3.0,49976,1920,1080,Standard,Full HD,Intel,Core,2.5,128,1024,SSD,Nvidia,GeForce
Lenovo,Notebook,15.6,4,No OS,2.2,26586,1920,1080,Standard,Full HD,Intel,Core,2.5,1024,0,HDD,Nvidia,GeForce
HP,Notebook,13.3,4,Windows 10,1.3,37242,1920,1080,IPS Panel,Full HD,Intel,Core,2.5,256,0,SSD,Intel,HD
Acer,Notebook,17.3,4,Windows 10,3.0,34898,1920,1080,IPS Panel,Full HD,Intel,Core,2.7,1024,0,HDD,Nvidia,GeForce
Lenovo,Notebook,14,8,Windows 10,1.8,59461,1920,1080,IPS Panel,Full HD,Intel,Core,1.6,256,0,SSD,AMD,Radeon
Lenovo,Gaming,15.6,8,No OS,2.4,46300,1920,1080,IPS Panel,Full HD,Intel,Core,2.8,256,0,SSD,Nvidia,GeForce
Toshiba,Notebook,15.6,4,Windows 10,2.1,32074,1366,768,Standard,Standard,Intel,Core,2.3,500,0,HDD,Intel,HD
HP,Notebook,15.6,4,Windows 10,1.9,19660,1366,768,Standard,Standard,AMD,A6-Series,2.5,256,0,SSD,AMD,Radeon
Asus,Ultrabook,14,8,Windows 10,1.2,58554,1920,1080,Standard,Full HD,Intel,Core,1.8,256,0,SSD,Intel,UHD
HP,Ultrabook,12.5,8,Windows 10,1.0,107305,3840,2160,IPS Panel,4K Ultra HD,Intel,Core,1.2,512,0,SSD,Intel,HD
Asus,Notebook,15.6,4,Windows 10,2.0,18328,1920,1080,Standard,Full HD,Intel,Celeron,1.1,1024,0,HDD,Intel,HD
Acer,Notebook,15.6,4,Windows 10,2.1,23816,1366,768,Standard,Standard,Intel,Core,2,1024,0,HDD,Intel,HD
Dell,Gaming,15.6,16,Windows 10,2.6,66560,1920,1080,Standard,Full HD,Intel,Core,2.8,512,0,SSD,Nvidia,GeForce
Dell,Gaming,15.6,8,Windows 10,2.6,47898,1920,1080,Standard,Full HD,Intel,Core,2.8,1024,0,Hybrid,Nvidia,GeForce
Lenovo,Notebook,15.6,4,Windows 10,1.9,26533,1366,768,Standard,Standard,Intel,Core,2.5,128,0,SSD,Intel,HD
MSI,Gaming,17.3,16,Windows 10,2.8,100699,1920,1080,Standard,Full HD,Intel,Core,2.8,256,1024,SSD,Nvidia,GeForce
HP,Ultrabook,14,4,Windows 10,1.5,57648,1920,1080,Standard,Full HD,Intel,Core,2.7,256,0,SSD,Intel,HD
HP,Notebook,15.6,6,Windows 10,1.9,32980,1920,1080,Standard,Full HD,Intel,Core,1.6,256,0,SSD,AMD,Radeon
Lenovo,2 in 1 Convertible,14,4,Windows 10,1.7,33513,1920,1080,IPS Panel,Full HD,Intel,Core,2.4,256,0,SSD,Intel,HD
Asus,2 in 1 Convertible,13.3,8,Windows 10,1.1,70063,1920,1080,Touchscreen,Full HD,Intel,Core,1.6,256,0,SSD,Intel,HD
Dell,2 in 1 Convertible,15.6,8,Windows 10,1.6,55890,1920,1080,Touchscreen,Full HD,Intel,Core,1.8,256,0,SSD,Intel,UHD
Toshiba,Notebook,15.6,4,Windows 10,2.1,23816,1366,768,Standard,Standard,Intel,Core,2.2,500,0,HDD,Intel,HD
Asus,Notebook,15.6,4,Windows 10,2.0,21471,1366,768,Standard,Standard,AMD,A9-Series,3,1024,0,HDD,AMD,Radeon
Acer,Notebook,17.3,4,Windows 10,3.0,42890,1920,1080,IPS Panel,Full HD,Intel,Core,1.6,256,0,SSD,Nvidia,GeForce
Dell,Notebook,15.6,8,Windows 10,2.1,38787,1920,1080,Standard,Full HD,Intel,Core,1.6,256,0,SSD,AMD,Radeon
Lenovo,Gaming,15.6,16,Windows 10,2.5,57489,1920,1080,IPS Panel,Full HD,Intel,Core,2.8,256,0,SSD,Nvidia,GeForce
Acer,Notebook,15.6,4,Windows 10,2.1,18541,1366,768,Standard,Standard,Intel,Celeron,1.1,1024,0,HDD,Intel,HD
MSI,Gaming,15.6,16,Windows 10,2.4,95850,1920,1080,IPS Panel,Full HD,Intel,Core,2.8,256,1024,SSD,Nvidia,GeForce
Acer,Notebook,15.6,4,Windows 10,2.1,19367,1366,768,Standard,Standard,Intel,Pentium,1.1,1024,0,HDD,Intel,HD
Dell,Gaming,15.6,8,Windows 10,2.6,56502,1920,1080,Standard,Full HD,Intel,Core,2.8,128,1024,SSD,Nvidia,GeForce
Acer,Notebook,17.3,8,Windows 10,3.0,45501,1920,1080,IPS Panel,Full HD,Intel,Core,1.6,256,0,SSD,Nvidia,GeForce
HP,Notebook,13.3,4,Windows 10,1.5,40173,1920,1080,IPS Panel,Full HD,Intel,Core,1.6,500,0,HDD,Intel,UHD
Huawei,Ultrabook,13,8,Windows 10,1.0,71874,2160,1440,IPS Panel,Full HD,Intel,Core,2.5,256,0,SSD,Intel,HD
HP,Notebook,17.3,6,Windows 10,2.7,37242,1920,1080,IPS Panel,Full HD,Intel,Core,2.5,2048,0,HDD,AMD,Radeon
Lenovo,Notebook,15.6,4,No OS,2.2,16463,1366,768,Standard,Standard,AMD,A6-Series,2.9,500,0,HDD,AMD,Radeon
Toshiba,Notebook,15.6,4,Windows 10,5.4,26053,1366,768,Standard,Standard,Intel,Core,2.4,500,0,HDD,Intel,HD
HP,Notebook,17.3,8,Windows 10,2.5,49177,1920,1080,Standard,Full HD,Intel,Core,1.6,256,0,SSD,Nvidia,GeForce
Dell,Notebook,15.6,8,Windows 10,2.3,24455,1366,768,Standard,Standard,Intel,Core,2.4,1024,0,HDD,Intel,HD
Acer,Notebook,15.6,4,Windows 10,2.1,23922,1366,768,Standard,Standard,Intel,Core,2,128,0,SSD,Intel,HD
MSI,Gaming,18.4,32,Windows 10,4.4,149130,1920,1080,Standard,Full HD,Intel,Core,2.9,512,1024,SSD,Nvidia,GTX
Lenovo,Notebook,15.6,8,Windows 10,1.9,43316,1920,1080,Standard,Full HD,Intel,Core,2.5,128,1024,SSD,AMD,R17M-M1-70
HP,2 in 1 Convertible,13.3,8,Windows 10,1.3,79866,3840,2160,IPS Panel,4K Ultra HD,Intel,Core,1.6,256,0,SSD,Intel,UHD
Dell,Notebook,15.6,16,Linux,2.0,55890,1920,1080,Standard,Full HD,Intel,Core,1.8,256,2048,SSD,AMD,Radeon
Dell,Ultrabook,13.3,8,Windows 10,1.2,74538,1920,1080,Standard,Full HD,Intel,Core,1.6,256,0,SSD,Intel,UHD
Lenovo,2 in 1 Convertible,13.9,16,Windows 10,1.4,98514,3840,2160,IPS Panel,4K Ultra HD,Intel,Core,1.8,512,0,SSD,Intel,UHD
Toshiba,Notebook,15.6,8,Windows 10,2.0,42251,1366,768,Standard,Standard,Intel,Core,2.5,128,0,SSD,Intel,HD
Xiaomi,Notebook,15.6,8,No OS,2.0,63882,1920,1080,IPS Panel,Full HD,Intel,Core,1.6,256,0,SSD,Nvidia,GeForce
Dell,Notebook,17.3,16,Windows 10,2.8,82530,1920,1080,Touchscreen,Full HD,Intel,Core,1.8,512,0,SSD,Nvidia,GeForce
Dell,Notebook,15.6,16,Windows 10,2.1,127712,3840,2160,Touchscreen,4K Ultra HD,Intel,Core,2.8,512,0,SSD,Nvidia,GeForce
Lenovo,Gaming,15.6,8,No OS,2.4,41505,1920,1080,IPS Panel,Full HD,Intel,Core,2.5,256,0,SSD,Nvidia,GeForce
Acer,Ultrabook,13.3,8,Windows 10,1.1,52693,1920,1080,IPS Panel,Full HD,Intel,Core,1.2,256,0,SSD,Intel,HD
Dell,Notebook,17.3,8,Windows 10,2.8,57808,1920,1080,Standard,Full HD,Intel,Core,1.8,128,1024,SSD,AMD,Radeon
Vero,Notebook,14,4,Windows 10,1.3,13852,1920,1080,IPS Panel,Full HD,Intel,Celeron,1.1,32,0,Flash,Intel,HD
Xiaomi,Ultrabook,13.3,8,No OS,1.3,53274,1920,1080,IPS Panel,Full HD,Intel,Core,2.5,256,0,SSD,Nvidia,GeForce
Lenovo,Notebook,17.3,8,No OS,2.8,37189,1600,900,Standard,Standard,Intel,Core,1.6,256,0,SSD,Nvidia,GeForce
Dell,2 in 1 Convertible,13.3,8,Windows 10,1.6,44701,1920,1080,IPS Panel,Full HD,Intel,Core,1.8,1024,0,HDD,Intel,UHD
HP,Notebook,17.3,8,Windows 10,2.5,48697,1920,1080,IPS Panel,Full HD,Intel,Core,1.6,1024,0,HDD,Nvidia,GeForce
Razer,Gaming,17.3,32,Windows 10,3.5,324954,3840,2160,Touchscreen,4K Ultra HD,Intel,Core,2.9,1024,0,SSD,Nvidia,GeForce
