Company,TypeName,Inches,Ram,OpSys,Weight,Price,Screen Panel Type,Additional Screen Features,Screen Resolution,CPU Brand,CPU Series,CPU Model Number,CPU Clock Speed,Gpu Brand,Gpu Series,Gpu Type,Main Storage Size,Main Storage Type,Additional Storage Size
HP,Notebook,15.6,4,Windows 10,2.1,18594,Standard,Full HD,1920x1080,AMD,E-Series,E2,1.5,AMD,Radeon R2,Radeon,500,HDD,0
HP,Ultrabook,13.3,8,Windows 10,1.38,59620,IPS Panel,Full HD,1920x1080,Intel,Core,i7,2.7,Nvidia,GeForce MX150,GeForce,256,SSD,0
Microsoft,Ultrabook,13.5,8,Windows 10 S,1.252,71395,Touchscreen,Standard,2256x1504,Intel,Core,i5,2.5,Intel,HD Graphics 620,HD Graphics,256,SSD,0
HP,Notebook,14,6,Windows 10,1.58,35111,IPS Panel,Full HD,1920x1080,Intel,Core,i5,2.5,Nvidia,GeForce 940MX,GeForce,256,SSD,0
Asus,Ultrabook,14,8,Windows 10,1.3,63563,IPS Panel,Full HD,1920x1080,Intel,Core,i7,2.7,Nvidia,GeForce 940MX,GeForce,256,SSD,0
MSI,Gaming,15.6,16,Windows 10,2.2,69210,Standard,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1050 Ti,GeForce,256,SSD,0
Lenovo,Notebook,14,8,Windows 10,1.58,78854,IPS Panel,Full HD,1920x1080,Intel,Core,i7,2.7,Intel,HD Graphics 620,HD Graphics,256,SSD,0
Asus,Ultrabook,15.6,16,Windows 10,1.5,67239,Standard,Full HD,1920x1080,Intel,Core,i7,1.8,Nvidia,GeForce MX150,GeForce,256,SSD,0
Dell,Ultrabook,13.3,8,Windows 10,1.23,73473,Touchscreen,Quad HD+,3200x1800,Intel,Core,i7,2.4,Intel,Iris Plus Graphics 640,Iris,256,SSD,0
Lenovo,2 in 1 Convertible,13.3,8,Windows 10,1.37,74538,IPS Panel,Full HD,1920x1080,Intel,Core,i5,2.5,Intel,HD Graphics 620,HD Graphics,256,SSD,0
Dell,Notebook,15.6,8,Windows 10,2.16,60223,IPS Panel,Full HD,1920x1080,Intel,Core,i7,1.8,Nvidia,GeForce 940MX,GeForce,256,SSD,0
Asus,Notebook,15.6,8,Windows 10,1.7,59567,Standard,Full HD,1920x1080,Intel,Core,i7,1.8,Nvidia,GeForce 940MX,GeForce,256,SSD,0
MSI,Gaming,15.6,16,Windows 10,1.8,119427,Standard,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1070,GeForce,256,SSD,0
Lenovo,Notebook,15.6,8,No OS,2.2,33513,Standard,Full HD,1920x1080,Intel,Core,i5,2.5,Nvidia,GeForce 940MX,GeForce,256,SSD,0
HP,Notebook,17.3,16,Windows 10,2.5,67718,Standard,Full HD,1920x1080,Intel,Core,i7,1.8,Nvidia,GeForce 930MX,GeForce,512,SSD,0
Acer,Notebook,15.6,4,Windows 10,2.1,24029,Standard,Standard,1366x768,AMD,A9-Series,A9,2.3,AMD,Radeon R5,Radeon,256,SSD,0
Asus,Notebook,14,4,Windows 10 S,1.65,14811,Standard,Standard,1366x768,AMD,E-Series,6110,1.5,AMD,Radeon R2,Radeon,64,SSD,0
Dell,Notebook,17.3,16,Windows 10,2.8,74378,Standard,Full HD,1920x1080,Intel,Core,i7,1.8,AMD,Radeon 530,Radeon,256,SSD,0
Acer,Notebook,15.6,4,Windows 10,7.2,30476,Standard,Full HD,1920x1080,Intel,Core,i3,2.7,Nvidia,GeForce MX130,GeForce,256,SSD,0
Asus,Gaming,17.3,8,Windows 10,3,49976,Standard,Full HD,1920x1080,Intel,Core,i5,2.5,Nvidia,GeForce GTX 1050,GeForce,128,SSD,0
HP,Notebook,13.3,4,Windows 10,1.32,37242,IPS Panel,Full HD,1920x1080,Intel,Core,i5,2.5,Intel,HD Graphics 620,HD Graphics,256,SSD,0
Lenovo,Notebook,14,8,Windows 10,1.75,59461,IPS Panel,Full HD,1920x1080,Intel,Core,i5,1.6,AMD,Radeon RX 550,Radeon,256,SSD,0
Lenovo,Gaming,15.6,8,No OS,2.4,46300,IPS Panel,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1050M,GeForce,256,SSD,0
Toshiba,Notebook,15.6,4,Windows 10,2.1,32074,Standard,Standard,1366x768,Intel,Core,i5,2.3,Intel,HD Graphics 520,HD Graphics,500,HDD,0
HP,Notebook,15.6,4,Windows 10,1.86,19660,Standard,Standard,1366x768,AMD,A6-Series,A6,2.5,AMD,Radeon R4 Graphics,Radeon,256,SSD,0
HP,Ultrabook,12.5,8,Windows 10,0.97,107305,IPS Panel,4K Ultra HD,3840x2160,Intel,Core,6Y75,1.2,Intel,HD Graphics 515,HD Graphics,512,SSD,0
Dell,Gaming,15.6,16,Windows 10,2.56,66560,Standard,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1050,GeForce,512,SSD,0
Dell,Gaming,15.6,8,Windows 10,2.62,47898,Standard,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1050,GeForce,1024,Hybrid,0
Lenovo,Notebook,15.6,4,Windows 10,1.9,26533,Standard,Standard,1366x768,Intel,Core,i5,2.5,Intel,HD Graphics 620,HD Graphics,128,SSD,0
MSI,Gaming,17.3,16,Windows 10,2.8,100699,Standard,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1060,GeForce,256,SSD,0
HP,Ultrabook,14,4,Windows 10,1.48,57648,Standard,Full HD,1920x1080,Intel,Core,i5,2.7,Intel,HD Graphics 620,HD Graphics,256,SSD,0
HP,Notebook,15.6,6,Windows 10,1.91,32980,Standard,Full HD,1920x1080,Intel,Core,i5,1.6,AMD,Radeon 520,Radeon,256,SSD,0
Lenovo,2 in 1 Convertible,14,4,Windows 10,1.74,33513,IPS Panel,Full HD,1920x1080,Intel,Core,i3,2.4,Intel,HD Graphics 620,HD Graphics,256,SSD,0
Asus,2 in 1 Convertible,13.3,8,Windows 10,1.1,70063,Touchscreen,Full HD,1920x1080,Intel,Core,i5,1.6,Intel,HD Graphics 620,HD Graphics,256,SSD,0
Toshiba,Notebook,15.6,4,Windows 10,2.1,23816,Standard,Standard,1366x768,Intel,Core,i3,2.2,Intel,HD Graphics 520,HD Graphics,500,HDD,0
Acer,Notebook,17.3,4,Windows 10,3,42890,IPS Panel,Full HD,1920x1080,Intel,Core,i5,1.6,Nvidia,GeForce MX150,GeForce,256,SSD,0
Dell,Notebook,15.6,8,Windows 10,2.13,38787,Standard,Full HD,1920x1080,Intel,Core,i5,1.6,AMD,Radeon 520,Radeon,256,SSD,0
Lenovo,Gaming,15.6,16,Windows 10,2.5,57489,IPS Panel,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1050 Ti,GeForce,256,SSD,0
MSI,Gaming,15.6,16,Windows 10,2.4,95850,IPS Panel,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1060,GeForce,256,SSD,0
Dell,Gaming,15.6,8,Windows 10,2.56,56502,Standard,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1050,GeForce,128,SSD,0
Acer,Notebook,17.3,8,Windows 10,3,45501,IPS Panel,Full HD,1920x1080,Intel,Core,i5,1.6,Nvidia,GeForce MX150,GeForce,256,SSD,0
Huawei,Ultrabook,13,8,Windows 10,1.05,71874,IPS Panel,Full HD,2160x1440,Intel,Core,i5,2.5,Intel,HD Graphics 620,HD Graphics,256,SSD,0
Lenovo,Notebook,15.6,4,No OS,2.2,16463,Standard,Standard,1366x768,AMD,A6-Series,A6,2.9,AMD,Radeon R4 Graphics,Radeon,500,HDD,0
Toshiba,Notebook,15.6,4,Windows 10,5.4,26053,Standard,Standard,1366x768,Intel,Core,i3,2.4,Intel,HD Graphics 620,HD Graphics,500,HDD,0
HP,Notebook,17.3,8,Windows 10,2.5,49177,Standard,Full HD,1920x1080,Intel,Core,i5,1.6,Nvidia,GeForce 930MX,GeForce,256,SSD,0
Acer,Notebook,15.6,4,Windows 10,2.1,23922,Standard,Standard,1366x768,Intel,Core,i3,2.3,Intel,HD Graphics 520,HD Graphics,128,SSD,0
Dell,Notebook,15.6,16,Linux,2.02,55890,Standard,Full HD,1920x1080,Intel,Core,i7,1.8,AMD,Radeon 530,Radeon,256,SSD,0
Toshiba,Notebook,15.6,8,Windows 10,2.0,42251,Standard,Standard,1366x768,Intel,Core,i5,2.5,Intel,HD Graphics 620,HD Graphics,128,SSD,0
Xiaomi,Notebook,15.6,8,No OS,1.95,63882,IPS Panel,Full HD,1920x1080,Intel,Core,i5,1.6,Nvidia,GeForce MX150,GeForce,256,SSD,0
Dell,Notebook,17.3,16,Windows 10,2.77,82530,Touchscreen,Full HD,1920x1080,Intel,Core,i7,1.8,Nvidia,GeForce 150MX,GeForce,512,SSD,0
Dell,Notebook,15.6,16,Windows 10,2.06,127712,Touchscreen,4K Ultra HD,3840x2160,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1050,GeForce,512,SSD,0
Lenovo,Gaming,15.6,8,No OS,2.4,41505,IPS Panel,Full HD,1920x1080,Intel,Core,i5,2.5,Nvidia,GeForce GTX 1050,GeForce,256,SSD,0
Acer,Ultrabook,13.3,8,Windows 10,1.12,52693,IPS Panel,Full HD,1920x1080,Intel,Core,i5,1.2,Intel,HD Graphics 615,HD Graphics,256,SSD,0
Dell,Notebook,17.3,8,Windows 10,2.8,57808,Standard,Full HD,1920x1080,Intel,Core,i7,1.8,AMD,Radeon 530,Radeon,128,SSD,0
Vero,Notebook,14,4,Windows 10,1.3,13852,IPS Panel,Full HD,1920x1080,Intel,Celeron,N3350,1.1,Intel,HD Graphics 500,HD Graphics,32,Flash Storage,0
Xiaomi,Ultrabook,13.3,8,No OS,1.3,53274,IPS Panel,Full HD,1920x1080,Intel,Core,i5,2.5,Nvidia,GeForce MX150,GeForce,256,SSD,0
Lenovo,Notebook,17.3,8,No OS,2.8,37189,Standard,Standard,1600x900,Intel,Core,i5,1.6,Nvidia,GeForce MX150,GeForce,256,SSD,0
HP,Gaming,17.3,16,Windows 10,3.35,73473,IPS Panel,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1050,GeForce,256,SSD,0
HP,Notebook,17.3,8,Windows 10,2.5,55677,Standard,Full HD,1920x1080,Intel,Core,i7,1.8,Nvidia,GeForce 930MX,GeForce,256,SSD,0
Dell,Gaming,15.6,16,Windows 10,2.65,98301,IPS Panel,4K Ultra HD,3840x2160,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1060,GeForce,512,SSD,0
Lenovo,Notebook,15.6,4,Windows 10,2.1,26267,Standard,Standard,1366x768,Intel,Core,i5,2.3,Intel,HD Graphics 520,HD Graphics,128,SSD,0
Lenovo,Gaming,15.6,16,Windows 10,3.2,93186,IPS Panel,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1060,GeForce,512,SSD,0
Dell,Workstation,15.6,16,Windows 10,2.8,162770,Standard,4K Ultra HD,3840x2160,Intel,Xeon,E3,2.3,Nvidia,Quadro M1200,Quadro,256,SSD,0
Lenovo,Gaming,15.6,16,No OS,2.4,74485,Standard,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1060,GeForce,512,SSD,0
Asus,Gaming,17.3,16,Windows 10,2.9,74964,Standard,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1050,GeForce,256,SSD,0
HP,Notebook,15.6,4,No OS,2.1,18594,Standard,Full HD,1920x1080,Intel,Core,i3,2.3,Intel,HD Graphics 520,HD Graphics,500,HDD,0
Lenovo,Notebook,15.6,8,No OS,2.2,29250,Standard,Full HD,1920x1080,Intel,Core,i5,2.5,Intel,HD Graphics 620,HD Graphics,256,SSD,0
Huawei,Ultrabook,13,8,Windows 10,1.05,79866,IPS Panel,Full HD,2160x1440,Intel,Core,i7,2.7,Intel,HD Graphics 620,HD Graphics,512,SSD,0
Dell,Ultrabook,13.3,8,Windows 10,1.4,49650,IPS Panel,Full HD,1920x1080,Intel,Core,i7,1.8,AMD,Radeon 530,Radeon,256,SSD,0
HP,Notebook,14,8,Windows 10,1.63,54931,Standard,Full HD,1920x1080,Intel,Core,i7,1.8,Nvidia,GeForce 930MX,GeForce,256,SSD,0
Dell,Notebook,15.6,8,Linux,2.2,36089,Standard,Full HD,1920x1080,Intel,Core,i5,1.6,AMD,Radeon 520,Radeon,256,SSD,0
Toshiba,Ultrabook,13.3,8,Windows 10,1.2,72620,Standard,Full HD,1920x1080,Intel,Core,i7,2.5,Intel,HD Graphics 520,HD Graphics,256,SSD,0
Dell,Gaming,17.3,16,Windows 10,4.42,130873,IPS Panel,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1060,GeForce,256,SSD,0
Acer,Notebook,15.6,8,Windows 10,2.2,44328,Standard,Full HD,1920x1080,Intel,Core,i7,2.7,Nvidia,GeForce 940MX,GeForce,256,SSD,0
Asus,Notebook,15.6,8,Windows 10,2,40972,Standard,Full HD,1920x1080,Intel,Core,i5,2.5,Nvidia,GeForce 920MX,GeForce,256,SSD,0
Asus,Notebook,17.3,8,Windows 10,2.69,47472,Standard,Full HD,1920x1080,Intel,Core,i5,2.5,Nvidia,GeForce GTX 950M,GeForce,256,SSD,500
Lenovo,Gaming,15.6,16,Windows 10,3.2,79866,IPS Panel,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1060,GeForce,256,SSD,0
Dell,Notebook,14,8,Windows 10,1.6,45767,Standard,Full HD,1920x1080,Intel,Core,i5,2.5,Intel,HD Graphics 620,HD Graphics,256,SSD,0
Acer,2 in 1 Convertible,13.3,8,Windows 10,1.6,36709,IPS Panel,Full HD,1920x1080,Intel,Core,i5,2.3,Intel,HD Graphics 520,HD Graphics,256,SSD,0
Dell,Notebook,15.6,16,Linux,2.36,47898,Standard,Full HD,1920x1080,Intel,Core,i7,2.7,AMD,Radeon R7 M445,Radeon,256,SSD,0
Asus,Notebook,15.6,4,Windows 10,2.2,30636,Standard,Full HD,1920x1080,AMD,A10-Series,A10,2.5,AMD,Radeon R5 M430,Radeon,128,SSD,0
Asus,Gaming,17.3,32,Windows 10,4.7,207259,Standard,Full HD,1920x1080,Intel,Core,i7,2.9,Nvidia,GeForce GTX 1080,GeForce,512,SSD,0
Acer,Gaming,15.6,8,Windows 10,2.5,45074,IPS Panel,Full HD,1920x1080,Intel,Core,i5,2.5,Nvidia,GeForce GTX 1050,GeForce,256,SSD,0
Lenovo,Notebook,15.6,8,Windows 10,7.2,31381,Standard,Standard,1366x768,Intel,Core,i3,2.3,Intel,HD Graphics 520,HD Graphics,128,SSD,0
Asus,Notebook,17.3,8,Windows 10,2.1,61005,Standard,Full HD,1920x1080,Intel,Core,i7,1.8,Nvidia,GeForce 150MX,GeForce,128,SSD,0
Asus,Notebook,17.3,8,No OS,2.69,47365,Standard,Full HD,1920x1080,Intel,Core,i7,2.7,Nvidia,GeForce GTX 950M,GeForce,128,SSD,0
Dell,Gaming,15.6,8,Windows 10,2.56,46833,Standard,Full HD,1920x1080,Intel,Core,i5,2.5,Nvidia,GeForce GTX 1050,GeForce,256,SSD,0
Lenovo,2 in 1 Convertible,13.9,8,Windows 10,1.38,57489,IPS Panel,Full HD,1920x1080,Intel,Core,i7,2.7,Intel,HD Graphics 620,HD Graphics,256,SSD,0
Dell,Notebook,15.6,8,Windows 10,2.2,52480,Standard,Full HD,1920x1080,Intel,Core,i7,1.8,AMD,Radeon 530,Radeon,128,SSD,0
Asus,Gaming,17.3,16,Windows 10,3.6,159786,Standard,Full HD,1920x1080,Intel,Core,i7,2.9,Nvidia,GeForce GTX 1080,GeForce,256,SSD,0
Apple,Ultrabook,13.3,8,macOS,1.37,108691,IPS Panel,Retina Display,2560x1600,Intel,Core,i5,3.1,Intel,Iris Plus Graphics 650,Iris,512,SSD,0
Asus,Gaming,17.3,16,Windows 10,4.3,95850,Standard,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 980M,GeForce,256,SSD,0
Acer,Notebook,17.3,4,Windows 10,3,37402,IPS Panel,Full HD,1920x1080,Intel,Core,i3,2.7,Nvidia,GeForce MX130,GeForce,256,SSD,0
HP,Notebook,15.6,8,Windows 10,1.91,23757,Standard,Standard,1366x768,AMD,A6-Series,A6,2.5,AMD,Radeon R4 Graphics,Radeon,128,SSD,0
MSI,Gaming,17.3,16,Windows 10,4.14,133146,Standard,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1070,GeForce,512,SSD,0
